status,date,no_of_accounts,no_of_trans,moved_amount
A,930921,7,8,125619.0
A,930922,5,5,83685.0
A,930923,3,3,45478.0
A,930924,5,5,61655.0
A,930925,4,4,35900.0
A,930926,6,6,73200.0
A,930927,3,4,112950.0
A,930928,2,2,10400.0
A,930929,6,7,99360.0
A,930930,76,133,74427.49995040894
A,931001,2,4,84656.0
A,931002,4,4,64061.0
A,931003,10,11,184534.0
A,931004,5,5,70000.0
A,931005,17,21,320858.0
A,931006,10,10,113624.0
A,931007,8,9,84966.0
A,931008,13,14,212341.0
A,931009,12,13,174336.0
A,931010,16,16,211796.0
A,931011,11,11,136201.0
A,931012,15,16,221566.80004882812
A,931013,15,15,176321.0
A,931014,12,13,148904.0
A,931015,5,5,115486.0
A,931016,5,6,32142.0
A,931017,10,12,177811.0
A,931018,7,8,109748.0
A,931019,8,8,87722.0
A,931020,6,8,118125.0
A,931021,5,6,111993.0
A,931022,3,3,74400.0
A,931023,5,5,43719.0
A,931024,6,6,52677.0
A,931025,6,6,110494.0
A,931026,4,4,73704.0
A,931027,7,8,118383.0
A,931028,1,1,9600.0
A,931029,5,5,57102.0
A,931030,6,7,114191.0
A,931031,85,151,115794.1999950409
A,931101,4,4,80406.0
A,931102,12,14,191959.0
A,931103,6,6,93911.0
A,931104,9,11,157089.0
A,931105,14,16,233089.0
A,931106,9,9,84085.0
A,931107,11,11,111864.0
A,931108,13,14,200016.0
A,931109,9,9,91926.0
A,931110,12,12,161826.0
A,931111,12,12,93583.0
A,931112,16,16,136535.0
A,931113,15,16,164024.0
A,931114,10,11,150658.0
A,931115,6,6,46510.0
A,931116,9,10,132000.0
A,931117,7,8,143272.0
A,931118,12,13,114015.0
A,931119,5,5,63643.0
A,931120,7,7,112525.0
A,931121,9,11,149872.0
A,931122,5,5,61783.0
A,931123,8,10,195044.0
A,931124,9,9,96719.0
A,931125,6,6,69049.0
A,931126,8,8,55364.0
A,931127,5,5,70295.0
A,931128,2,2,24200.0
A,931129,2,2,14000.0
A,931130,90,166,56829.400055885315
A,931201,7,7,67584.0
A,931202,16,16,211798.0
A,931203,10,10,122481.0
A,931204,14,15,201050.0
A,931205,22,22,356719.0
A,931206,11,11,183722.0
A,931207,14,16,273787.0
A,931208,18,20,408202.0
A,931209,20,20,290848.5
A,931210,21,24,403613.0
A,931211,16,16,197608.0
A,931212,21,23,330728.8996582031
A,931213,18,18,238621.0
A,931214,14,15,241720.0
A,931215,8,9,71864.0
A,931216,16,17,217564.0
A,931217,8,8,128470.0
A,931218,6,6,77607.0
A,931219,6,8,93960.0
A,931220,10,11,137123.0
A,931221,10,10,142015.0
A,931222,9,10,114282.0
A,931223,11,12,218037.0
A,931224,8,9,150624.0
A,931225,8,8,101833.0
A,931226,9,9,103301.0
A,931227,5,5,34462.0
A,931228,8,8,53720.0
A,931229,6,6,52620.0
A,931230,5,6,180981.0
A,931231,97,183,74627.49998474121
A,940101,18,19,177090.0
A,940102,19,23,233186.0
A,940103,18,19,192509.0
A,940104,18,18,127815.0
A,940105,24,27,394680.0
A,940106,16,18,242160.0
A,940107,19,20,183801.0
A,940108,25,34,327733.0
A,940109,21,25,248521.0
A,940110,24,27,272553.0
A,940111,20,23,185635.0
A,940112,29,37,326678.69970703125
A,940113,22,28,243141.0
A,940114,19,19,102811.0
A,940115,15,18,146387.0
A,940116,18,20,151043.0
A,940117,19,20,169501.0
A,940118,16,16,100429.0
A,940119,17,20,143395.0
A,940120,20,21,198782.0
A,940121,15,19,162622.0
A,940122,18,18,160567.0
A,940123,18,18,133987.0
A,940124,16,17,120634.0
A,940125,14,14,78360.0
A,940126,19,20,133998.0
A,940127,17,19,218841.0
A,940128,15,18,150895.0
A,940129,10,10,88437.0
A,940130,10,11,125505.0
A,940131,104,210,76650.5000057295
A,940201,8,8,103874.0
A,940202,9,9,73887.0
A,940203,13,14,168618.0
A,940204,8,8,41100.0
A,940205,19,20,302029.0
A,940206,16,16,209695.0
A,940207,15,17,212913.0
A,940208,18,19,328415.0
A,940209,13,13,163150.0
A,940210,17,17,207274.0
A,940211,18,18,131651.0
A,940212,26,29,245488.099609375
A,940213,17,19,204340.0
A,940214,20,20,198535.0
A,940215,9,10,117799.0
A,940216,10,10,92846.0
A,940217,3,3,33900.0
A,940218,5,5,104257.0
A,940219,11,11,128691.0
A,940220,9,9,101989.0
A,940221,8,8,45900.0
A,940222,10,11,129046.0
A,940223,3,3,13300.0
A,940224,4,4,70800.0
A,940225,4,4,82185.0
A,940226,5,5,42703.0
A,940227,6,7,118165.0
A,940228,105,213,50364.99999696016
A,940301,4,6,151368.0
A,940302,8,8,102059.0
A,940303,6,6,126114.0
A,940304,10,10,86585.0
A,940305,22,24,256078.0
A,940306,10,10,108951.0
A,940307,14,16,215524.0
A,940308,20,23,370242.0
A,940309,16,16,229313.0
A,940310,18,19,201905.0
A,940311,16,18,172381.0
A,940312,31,34,332619.69970703125
A,940313,18,19,228142.0
A,940314,14,14,160293.0
A,940315,10,10,116351.0
A,940316,11,12,106012.0
A,940317,10,10,139752.0
A,940318,8,8,81020.0
A,940319,9,9,145776.0
A,940320,5,5,48093.0
A,940321,8,8,126615.0
A,940322,5,5,69426.0
A,940323,7,7,64672.0
A,940324,8,9,135434.0
A,940325,5,5,12400.0
A,940326,5,5,70800.0
A,940327,10,11,123663.0
A,940328,5,6,46165.0
A,940329,8,9,76795.0
A,940330,5,5,49300.0
A,940331,106,220,165004.19999408722
A,940401,9,9,130585.0
A,940402,9,9,81941.0
A,940403,7,8,117265.0
A,940404,10,10,88432.0
A,940405,14,15,191806.0
A,940406,16,16,151251.0
A,940407,21,24,284858.0
A,940408,20,23,347659.0
A,940409,20,21,215692.0
A,940410,16,17,198757.0
A,940411,17,18,183411.0
A,940412,37,41,404333.9997558594
A,940413,17,18,172221.0
A,940414,15,16,137053.0
A,940415,14,17,196381.0
A,940416,9,9,82951.0
A,940417,9,10,126062.0
A,940418,8,8,133505.0
A,940419,11,12,98203.0
A,940420,7,7,94070.0
A,940421,9,9,84841.0
A,940422,8,8,133225.0
A,940423,15,15,259799.0
A,940424,9,10,166782.0
A,940425,10,12,193420.0
A,940426,3,3,23251.0
A,940427,7,8,128178.0
A,940428,5,6,33036.0
A,940429,5,5,75523.0
A,940430,108,230,222975.30002212524
A,940501,11,12,202060.0
A,940502,7,8,49900.0
A,940503,15,15,208876.0
A,940504,13,14,150304.0
A,940505,20,20,231135.0
A,940506,15,19,336415.0
A,940507,17,18,183128.0
A,940508,17,19,290367.0
A,940509,20,20,265154.0
A,940510,24,24,339296.0
A,940511,17,18,162036.0
A,940512,38,39,205209.99926757812
A,940513,24,27,370738.0
A,940514,11,11,111983.0
A,940515,12,12,108578.0
A,940516,11,11,134367.0
A,940517,9,11,161123.0
A,940518,7,8,68467.0
A,940519,8,9,151602.0
A,940520,11,11,95616.0
A,940521,8,9,114526.0
A,940522,10,10,88877.0
A,940523,11,13,218985.0
A,940524,7,8,76261.0
A,940525,10,10,111456.0
A,940526,7,9,145404.0
A,940527,6,6,50512.0
A,940528,6,6,128696.0
A,940529,3,3,41130.0
A,940530,7,7,128918.0
A,940531,111,241,200227.20006752014
A,940601,8,8,139022.0
A,940602,9,9,76142.0
A,940603,9,9,49918.0
A,940604,11,11,145697.0
A,940605,31,33,576165.0
A,940606,16,16,201963.0
A,940607,20,21,332528.0
A,940608,18,19,382318.0
A,940609,15,17,225778.5
A,940610,21,21,327063.0
A,940611,21,25,352348.0
A,940612,43,48,424942.7995605469
A,940613,21,22,287287.0
A,940614,22,22,237438.5
A,940615,9,9,93900.0
A,940616,7,7,50478.0
A,940617,7,8,97826.0
A,940618,8,9,72223.0
A,940619,9,9,116462.0
A,940620,12,14,182820.0
A,940621,9,11,99406.0
A,940622,16,17,354941.0
A,940623,11,11,194296.0
A,940624,9,9,99491.0
A,940625,10,15,298095.0
A,940626,8,9,143662.0
A,940627,6,8,136865.0
A,940628,11,12,224887.0
A,940629,7,8,106130.0
A,940630,113,245,138530.60012626648
A,940701,10,11,173558.0
A,940702,9,9,102024.0
A,940703,10,12,161750.0
A,940704,11,12,168885.0
A,940705,26,26,360619.0
A,940706,17,18,161255.0
A,940707,16,17,223312.0
A,940708,21,22,345251.0
A,940709,19,19,281279.0
A,940710,23,26,246755.0
A,940711,12,14,93480.0
A,940712,43,47,292818.6994628906
A,940713,16,18,146088.0
A,940714,22,24,325108.0
A,940715,10,12,176577.0
A,940716,9,9,76660.0
A,940717,6,8,116616.0
A,940718,6,6,66466.0
A,940719,8,9,113053.0
A,940720,11,13,166997.0
A,940721,13,14,170705.0
A,940722,8,9,73742.0
A,940723,7,7,81158.0
A,940724,8,8,140104.0
A,940725,6,6,91976.0
A,940726,13,13,216685.0
A,940727,3,3,28018.0
A,940728,6,6,67332.0
A,940729,4,5,85305.0
A,940730,10,10,98020.0
A,940731,115,252,219558.99995994568
A,940801,11,11,144854.0
A,940802,11,11,60546.0
A,940803,13,14,298124.0
A,940804,8,8,83241.0
A,940805,21,21,195443.0
A,940806,18,19,267760.0
A,940807,14,15,196140.0
A,940808,21,22,397924.0
A,940809,18,18,211492.0
A,940810,23,25,332408.0
A,940811,17,19,231469.0
A,940812,47,56,501285.7995605469
A,940813,28,32,412251.0
A,940814,14,15,236698.0
A,940815,9,10,180975.0
A,940816,5,6,34600.0
A,940817,6,6,113918.0
A,940818,10,10,111058.0
A,940819,12,13,217692.0
A,940820,10,11,168183.0
A,940821,12,12,163757.0
A,940822,12,13,133998.0
A,940823,7,7,115211.0
A,940824,4,4,27345.0
A,940825,8,9,198444.0
A,940826,5,6,66203.0
A,940827,7,7,66668.0
A,940828,4,5,62610.0
A,940829,13,13,209167.0
A,940830,9,9,130026.0
A,940831,120,265,355062.80008888245
A,940901,10,11,162773.0
A,940902,9,9,109617.0
A,940903,8,9,181007.0
A,940904,10,10,78200.0
A,940905,17,19,267570.0
A,940906,19,20,316887.0
A,940907,16,18,316759.0
A,940908,20,20,322575.0
A,940909,13,14,145367.0
A,940910,24,24,291942.0
A,940911,19,20,162660.0
A,940912,51,60,530207.1997070312
A,940913,19,21,221045.0
A,940914,15,16,244420.0
A,940915,11,11,117858.0
A,940916,10,10,108455.0
A,940917,12,13,154980.0
A,940918,12,12,82100.0
A,940919,11,11,171067.0
A,940920,12,12,187773.0
A,940921,4,4,16026.0
A,940922,9,11,260764.0
A,940923,9,11,174548.0
A,940924,7,8,105430.0
A,940925,8,9,146810.0
A,940926,5,6,99317.0
A,940927,2,2,11800.0
A,940928,16,16,154070.0
A,940929,6,6,95520.0
A,940930,122,270,295461.60018110275
A,941001,11,11,113107.0
A,941002,10,11,222138.0
A,941003,8,8,106519.0
A,941004,11,13,111999.0
A,941005,22,24,454225.0
A,941006,17,17,193969.0
A,941007,20,23,307696.0
A,941008,19,19,396355.0
A,941009,14,15,171555.0
A,941010,23,24,249575.0
A,941011,16,17,128398.0
A,941012,57,66,511985.0
A,941013,16,17,174950.0
A,941014,15,16,189246.0
A,941015,8,8,64219.0
A,941016,5,5,49379.0
A,941017,12,12,158073.0
A,941018,9,9,71971.0
A,941019,13,14,177692.0
A,941020,10,10,141756.0
A,941021,11,12,72615.0
A,941022,11,11,153631.0
A,941023,7,7,71521.0
A,941024,9,9,88074.0
A,941025,5,5,26600.0
A,941026,9,10,198152.0
A,941027,4,4,57495.0
A,941028,13,15,191896.0
A,941029,6,6,108396.0
A,941030,10,10,127412.0
A,941031,123,273,235765.00008821487
A,941101,11,11,161429.0
A,941102,10,10,100321.0
A,941103,12,12,126116.0
A,941104,9,9,135560.0
A,941105,25,26,269932.0
A,941106,12,13,80441.0
A,941107,14,16,180602.0
A,941108,17,20,474434.0
A,941109,19,20,324013.0
A,941110,17,18,143860.0
A,941111,21,23,227604.0
A,941112,59,70,421465.19921875
A,941113,20,22,175906.0
A,941114,16,17,242842.0
A,941115,8,8,111279.0
A,941116,10,11,166957.0
A,941117,11,11,100306.0
A,941118,10,10,107925.0
A,941119,7,7,68767.0
A,941120,8,8,119310.0
A,941121,10,10,151461.0
A,941122,10,11,116104.0
A,941123,6,6,139912.0
A,941124,7,7,117981.0
A,941125,8,9,182394.0
A,941126,6,7,68130.0
A,941127,11,11,126022.0
A,941128,6,7,123560.0
A,941129,11,12,137534.0
A,941130,125,276,175769.500041008
A,941201,12,14,138349.0
A,941202,13,13,132607.0
A,941203,11,13,131122.0
A,941204,12,14,192549.0
A,941205,33,36,630091.0
A,941206,15,17,228846.0
A,941207,21,23,281881.0
A,941208,20,23,411729.0
A,941209,19,20,313295.5
A,941210,30,33,394972.0
A,941211,20,22,230355.0
A,941212,69,79,542156.9001464844
A,941213,21,24,337584.0
A,941214,20,20,263529.5
A,941215,12,12,147120.0
A,941216,12,12,141674.0
A,941217,13,14,178962.0
A,941218,18,18,224192.0
A,941219,14,15,176215.0
A,941220,12,12,115235.0
A,941221,11,13,246422.0
A,941222,8,9,161346.0
A,941223,10,10,108757.0
A,941224,11,11,122053.0
A,941225,11,12,189996.0
A,941226,14,17,257322.0
A,941227,14,14,119230.0
A,941228,11,11,124467.0
A,941229,10,10,127357.0
A,941230,17,19,191047.0
A,941231,128,272,70279.3999118805
A,950101,22,26,182140.0
A,950102,25,30,265181.0
A,950103,26,29,233876.0
A,950104,26,28,223471.0
A,950105,32,36,381156.0
A,950106,27,32,243020.0
A,950107,26,30,310443.0
A,950108,31,37,450770.0
A,950109,25,32,242416.0
A,950110,43,52,526392.0
A,950111,34,36,298631.0
A,950112,70,96,743537.9001464844
A,950113,31,35,318572.0
A,950114,24,26,267913.0
A,950115,24,26,206733.0
A,950116,25,26,280292.0
A,950117,30,32,310326.0
A,950118,26,28,225680.0
A,950119,24,24,108157.0
A,950120,21,21,125900.0
A,950121,23,24,155154.0
A,950122,29,29,172824.0
A,950123,18,19,84360.0
A,950124,23,24,226518.0
A,950125,16,18,61960.0
A,950126,23,27,179363.0
A,950127,17,18,124097.0
A,950128,24,27,139045.0
A,950129,19,21,139033.0
A,950130,23,25,165645.0
A,950131,133,290,185279.099960804
A,950201,11,11,78917.0
A,950202,10,10,106305.0
A,950203,9,12,185311.0
A,950204,7,7,47381.0
A,950205,19,19,236572.0
A,950206,12,13,102933.0
A,950207,21,22,236898.0
A,950208,17,20,406232.0
A,950209,20,21,227689.0
A,950210,23,24,257732.0
A,950211,15,21,393036.0
A,950212,60,68,483628.6003417969
A,950213,17,17,199442.0
A,950214,20,20,209762.0
A,950215,15,16,197470.0
A,950216,8,8,135228.0
A,950217,11,14,227833.0
A,950218,8,9,77965.0
A,950219,5,5,43560.0
A,950220,10,10,120241.0
A,950221,10,10,161129.0
A,950222,6,6,95287.0
A,950223,10,10,92889.0
A,950224,5,5,72071.0
A,950225,13,13,84521.0
A,950226,5,5,69497.0
A,950227,10,11,167801.0
A,950228,136,300,137400.90004050732
A,950301,8,9,118394.0
A,950302,12,12,199147.0
A,950303,13,13,107576.0
A,950304,11,11,109235.0
A,950305,27,30,459667.0
A,950306,15,15,174547.0
A,950307,20,21,250690.0
A,950308,24,25,383006.0
A,950309,13,14,244064.0
A,950310,24,24,279404.0
A,950311,17,20,231608.0
A,950312,62,74,467381.99951171875
A,950313,23,23,259114.0
A,950314,17,17,170865.0
A,950315,12,15,312206.0
A,950316,10,10,114647.0
A,950317,11,11,130750.0
A,950318,15,15,201892.0
A,950319,10,10,155742.0
A,950320,12,13,155095.0
A,950321,6,6,74903.0
A,950322,6,6,70070.0
A,950323,9,11,219848.0
A,950324,6,6,35148.0
A,950325,12,15,268968.0
A,950326,4,4,50000.0
A,950327,11,11,82410.0
A,950328,12,13,208132.0
A,950329,8,9,163563.0
A,950330,11,13,196602.0
A,950331,139,299,135580.20016670227
A,950401,13,14,223020.0
A,950402,10,10,85077.0
A,950403,10,10,131390.0
A,950404,8,10,211505.0
A,950405,25,25,393668.0
A,950406,15,17,179480.0
A,950407,24,27,287856.0
A,950408,19,20,253512.0
A,950409,17,17,169631.0
A,950410,23,24,352555.0
A,950411,20,21,249763.0
A,950412,70,78,579767.6997070312
A,950413,19,22,203637.0
A,950414,15,15,128681.0
A,950415,9,9,73600.0
A,950416,11,11,180462.0
A,950417,9,9,125671.0
A,950418,9,12,138227.0
A,950419,8,9,61071.0
A,950420,14,14,196832.0
A,950421,9,9,141120.0
A,950422,11,12,144664.0
A,950423,3,7,160461.0
A,950424,10,12,188316.0
A,950425,5,5,45195.0
A,950426,14,15,165865.0
A,950427,10,10,209141.0
A,950428,6,6,62749.0
A,950429,11,13,155243.0
A,950430,141,304,118501.00008010864
A,950501,11,11,146395.0
A,950502,13,14,198352.0
A,950503,11,12,221316.0
A,950504,11,12,165728.0
A,950505,22,23,380733.0
A,950506,17,17,165435.0
A,950507,25,28,431963.0
A,950508,24,24,378864.0
A,950509,24,26,355832.0
A,950510,26,27,301111.0
A,950511,24,24,201732.0
A,950512,65,75,436603.1999511719
A,950513,20,21,184003.0
A,950514,23,25,257891.0
A,950515,12,13,228416.0
A,950516,9,11,111704.0
A,950517,10,10,66120.0
A,950518,8,8,87117.0
A,950519,10,10,117200.0
A,950520,15,19,346923.0
A,950521,14,14,177349.0
A,950522,9,10,165954.0
A,950523,7,8,110817.0
A,950524,4,4,63500.0
A,950525,5,6,89009.0
A,950526,12,13,189874.0
A,950527,13,15,260740.0
A,950528,18,20,279127.0
A,950529,14,15,187309.0
A,950530,12,14,188028.0
A,950531,143,310,81962.09992218018
A,950601,15,15,117459.0
A,950602,10,10,210107.0
A,950603,7,7,129632.0
A,950604,9,9,93323.0
A,950605,31,31,557140.0
A,950606,23,23,309436.0
A,950607,27,27,393207.5
A,950608,28,30,587575.0
A,950609,22,25,415528.5
A,950610,27,30,445744.0
A,950611,21,23,324239.0
A,950612,67,76,617692.6003417969
A,950613,27,29,564203.0
A,950614,22,25,386875.0
A,950615,14,14,117223.0
A,950616,14,17,313697.0
A,950617,13,15,237611.0
A,950618,8,8,135054.0
A,950619,14,14,207956.0
A,950620,11,11,157786.0
A,950621,12,12,144196.0
A,950622,8,8,121066.0
A,950623,10,10,157555.0
A,950624,8,11,289326.0
A,950625,16,16,143706.0
A,950626,10,11,148673.0
A,950627,12,13,146250.0
A,950628,10,11,117534.0
A,950629,14,14,154983.0
A,950630,146,318,169384.9000492096
A,950701,13,13,139778.0
A,950702,8,10,107832.0
A,950703,15,17,370598.0
A,950704,15,17,237803.0
A,950705,29,31,453173.0
A,950706,20,22,271976.0
A,950707,29,31,337953.0
A,950708,27,29,508615.0
A,950709,23,24,273731.0
A,950710,26,28,370958.0
A,950711,24,26,322252.0
A,950712,75,80,445602.0993652344
A,950713,22,24,351393.0
A,950714,27,29,304417.0
A,950715,10,10,129863.0
A,950716,12,12,130918.0
A,950717,16,16,205086.0
A,950718,8,8,48840.0
A,950719,9,9,182414.0
A,950720,5,5,48400.0
A,950721,10,11,186836.0
A,950722,5,6,109358.0
A,950723,7,7,60716.0
A,950724,4,4,84127.0
A,950725,10,11,124101.0
A,950726,10,12,170635.0
A,950727,6,6,39980.0
A,950728,15,15,230066.0
A,950729,8,8,102538.0
A,950730,10,12,213016.0
A,950731,148,327,155527.7000541687
A,950801,11,11,118489.0
A,950802,13,16,269675.0
A,950803,11,11,132287.0
A,950804,6,6,33800.0
A,950805,32,32,455907.0
A,950806,19,19,143523.0
A,950807,25,25,276469.0
A,950808,19,23,412288.0
A,950809,23,25,270668.0
A,950810,24,25,303494.0
A,950811,23,26,265446.0
A,950812,66,71,372213.2998046875
A,950813,26,28,278709.0
A,950814,25,25,310827.0
A,950815,9,9,149910.0
A,950816,12,12,115797.0
A,950817,12,12,126335.0
A,950818,15,15,109379.0
A,950819,6,6,122263.0
A,950820,6,7,62693.0
A,950821,9,9,45510.0
A,950822,9,11,198568.0
A,950823,6,7,159823.0
A,950824,17,18,340420.0
A,950825,7,7,136540.0
A,950826,14,14,162793.0
A,950827,11,11,127475.0
A,950828,13,15,333298.0
A,950829,9,9,160965.0
A,950830,11,11,124828.0
A,950831,150,323,132139.1000480652
A,950901,13,16,295784.0
A,950902,10,10,119322.0
A,950903,8,8,90424.0
A,950904,10,11,212793.0
A,950905,33,34,530502.0
A,950906,21,24,285117.0
A,950907,27,28,252061.0
A,950908,19,20,286496.0
A,950909,22,22,265164.0
A,950910,20,22,233751.0
A,950911,19,23,327564.0
A,950912,73,81,497107.30029296875
A,950913,27,27,248157.0
A,950914,21,24,314706.0
A,950915,16,20,276678.0
A,950916,9,9,78850.0
A,950917,13,14,184999.0
A,950918,6,6,53600.0
A,950919,8,8,110545.0
A,950920,6,6,96966.0
A,950921,7,7,100762.0
A,950922,9,9,151052.0
A,950923,14,15,192037.0
A,950924,6,6,49822.0
A,950925,11,12,153814.0
A,950926,13,14,203983.0
A,950927,9,9,64045.0
A,950928,10,10,142357.0
A,950929,13,13,132894.0
A,950930,151,330,279966.2000579834
A,951001,8,8,113908.0
A,951002,11,14,164423.0
A,951003,10,10,63196.0
A,951004,12,12,171126.0
A,951005,26,27,346907.0
A,951006,23,23,244059.0
A,951007,31,33,448743.0
A,951008,24,26,469486.0
A,951009,23,25,249099.0
A,951010,26,29,460568.0
A,951011,22,26,269365.0
A,951012,71,76,481242.6999511719
A,951013,28,29,290927.0
A,951014,25,25,269291.0
A,951015,8,11,102137.0
A,951016,11,11,84189.0
A,951017,15,15,216487.0
A,951018,9,10,101808.0
A,951019,11,11,132329.0
A,951020,4,4,20580.0
A,951021,9,9,113929.0
A,951022,7,7,88943.0
